ID;Domanda;Opzione A;Opzione B;Opzione C;Opzione D;Corretta;Spiegazione/Fonte
504;Quale segno salvò la casa di Raab a Gerico?;Un agnello;Un filo di corda scarlatta;Una croce;Un ramo d'ulivo;B;Posto alla finestra come segno di riconoscimento [4].
505;Cosa accadde alle mura di Gerico al settimo giro?;Bruciarono;Furono abbattute da macchine;Crollarono al grido del popolo;Si aprirono le porte;C;Al suono delle trombe e al grido di guerra [5].
506;Cosa indica il termine "Anatema" (herem)?;Benedizione;Votare allo sterminio/consacrazione;Sacrificio animale;Tregua;B;Ciò che è votato a Dio deve essere distrutto o dato al tesoro [6].
507;Quale miracolo astronomico è narrato a Gabaon?;Eclissi;Pioggia di stelle;Il sole e la luna si fermarono;Colonna di fuoco;C;Giosuè lo invocò per finire la battaglia [5].
508;In quale città Giosuè rinnovò l'alleanza finale?;Gerusalemme;Sichem;Gerico;Betel;B;Sichem fu il luogo del patto solenne [4].
509;A quale età morì Giosuè?;120 anni;100 anni;110 anni;80 anni;C;Fu sepolto nel territorio di Efraim [4].
510;Chi sono i "Giudici" (Shofetim)?;Magistrati;Capi militari e civili;Sacerdoti;Re;B;Uomini scelti da Dio per liberare le tribù [7, 8].
511;Qual è il ciclo narrativo tipico dei Giudici?;Pace-Guerra;Peccato-Castigo-Invocazione-Liberazione;Gloria-Caduta;Nascita-Morte;B;Uno schema che si ripete per l'infedeltà del popolo [8].
512;Chi fu l'unica donna giudice e profetessa?;Rut;Giaele;Debora;Noemi;C;Amministrava la giustizia sotto una palma [8, 9].
513;Come morì il generale cananeo Sisara?;In battaglia;Ucciso da Giaele con un piolo;Cadendo;Lapidato;B;Giaele lo colpì alla tempia mentre dormiva [10].
514;Qual era il segreto della forza di Sansone?;Muscoli;Voto di nazireato (capelli);Lancia;Preghiera;B;Consacrato a Dio fin dal seno materno [10].
515;Per quanti anni Sansone fu giudice?;40 anni;10 anni;20 anni;12 anni;C;Al tempo della dominazione dei Filistei [11].
516;Chi è considerato l'ultimo dei Giudici?;Gedeone;Sansone;Samuele;Iefte;C;Segnò il passaggio alla monarchia [12].
517;Chi era la madre di Samuele?;Rachele;Anna;Sara;Rebecca;B;Sterile, ottenne il figlio con la preghiera [13].
518;Cosa significa il nome "Samuele"?;Dio è grande;L'ho domandato al Signore;Figlio della gioia;Forte;B;In memoria della preghiera di Anna [13, 14].
519;Dove era l'Arca nell'infanzia di Samuele?;Gerusalemme;Silo;Ebron;Sichem;B;Nel tempio dove serviva il sacerdote Eli [13].
520;Perché Israele chiese un re?;Per amore;Per essere come gli altri popoli;Per sconfiggere l'Egitto;Comando divino;B;Volevano un capo visibile [13].
521;Chi fu il primo re consacrato d'Israele?;Davide;Saul;Salomone;Giosia;B;Unto dal profeta Samuele [13, 15].
522;Con quale strumento Davide calmava Saul?;Flauto;Cetra;Tamburello;Tromba;B;Lo spirito malvagio si allontanava al suono della cetra [16].
523;Quale città era la patria di Davide?;Gerusalemme;Betlemme;Rama;Ebron;B;Figlio di Iesse il Betlemita [16].
524;Quali armi usò Davide contro Golia?;Spada;Fionda e cinque ciottoli;Arco;Scudo;B;Andò nel nome del Signore degli eserciti [16, 17].
525;Quale città Davide rese capitale?;Sichem;Gerusalemme (Sion);Samaria;Dan;B;La strappò ai Gebusei [18, 19].
526;Qual è il cuore del "Patto Davidico"?;Un palazzo;Stabilità eterna della dinastia;Conquista Egitto;Perdono Saul;B;Promessa di un discendente eterno [20, 21].
527;Chi era la moglie di Uria di cui Davide si peccò?;Michal;Betsabea;Abigail;Tamar;B;Madre di Salomone [22].
528;Quale parabola usò Natan contro Davide?;Pecora smarrita;Pecorella del povero rubata;Vignaiolo;Seminatore;B;Per denunciare il suo peccato [22].
529;Chi costruì il primo Tempio?;Davide;Salomone;Ezechia;Giosia;B;Seguendo i preparativi di Davide [23, 24].
530;In che anno avvenne lo scisma del regno?;1000 a.C.;931 a.C.;722 a.C.;587 a.C.;B;Alla morte di Salomone [25, 26].
531;Chi fu il primo re del Regno del Nord?;Roboamo;Geroboamo;Acab;Ieu;B;Scelto dalle dieci tribù settentrionali [25, 27].
532;Quale re di Giuda attuò la riforma del 622 a.C.?;Ezechia;Giosia;Davide;Manasse;B;Basata sul ritrovamento del Libro della Legge [28, 29].
533;In quale anno cadde Gerusalemme (Babilonesi)?;722 a.C.;63 a.C.;587 a.C.;538 a.C.;C;Sotto Nabucodonosor [30, 31].
534;Quale re persiano permise il ritorno dall'esilio?;Dario;Serse;Ciro;Artaserse;C;Emanò l'editto nel 538 a.C. [32, 33].
535;Chi guidò la ricostruzione delle mura?;Esdra;Zorobabele;Neemia;Zaccaria;C;Funzionario di Artaserse [34, 35].
536;Cosa significa il termine "Hokmah"?;Magia;Sapienza pratica;Filosofia;Legge;B;Arte di vivere rettamente [36, 37].
537;Qual è il tema centrale di Giobbe?;Lode;Sofferenza dell'innocente;Sabato;Genealogia;B;Affronta il mistero del dolore [38, 39].
538;Chi è il giovane che interviene in Giobbe?;Elifaz;Bildad;Zofar;Eliu;D;Sostiene che la sofferenza istruisce [40].
539;Quanti sono i Salmi nel Salterio?;100;120;150;200;C;Chiamati "Tehillim" (Lodi) [41, 42].
540;Quale libro afferma che "Tutto è vanità"?;Proverbi;Siracide;Qoelet;Sapienza;C;Riflessione sulla caducità umana [43, 44].
541;Quale libro è un grande poema d'amore?;Salmi;Lamentazioni;Cantico dei Cantici;Sapienza;C;Amore tra Dio e l'anima/Chiesa [45, 46].
542;Quale personaggio uccise Oloferne?;Ester;Rut;Giuditta;Debora;C;Decapitò il generale per liberare Betulia [47, 48].
543;Cosa significa il nome "Raffaele"?;Forza;Medicina di Dio;Luce;Re;B;Angelo guaritore in Tobia [49, 50].
544;Cosa commemora la festa di Purim?;Uscita Egitto;Liberazione via Ester;Legge;Diluvio;B;Dal "Pur" (sorte) gettato da Aman [51, 52].
545;Chi è il primo grande profeta "faccia a faccia"?;Elia;Samuele;Mosè;Isaia;C;Modello di ogni profezia [53, 54].
546;In quante parti è diviso il libro di Isaia?;2;3 (Proto, Deutero, Trito);5;12;B;Copre periodi pre, esilico e post [55, 56].
547;Quale profeta parla del "Servo sofferente"?;Geremia;Ezechiele;Isaia (Deutero);Daniele;C;Profezia della passione di Cristo [57, 58].
548;Chi era il segretario di Geremia?;Safan;Esdra;Baruc;Neemia;C;Trascrisse oracoli e lamenti [59, 60].
549;Quale promessa è centrale in Geremia 31?;Distruzione;Alleanza Nuova scritta nei cuori;Ritorno;Morte;B;Legge incisa nell'anima [61, 62].
550;Quale profeta vide le ossa inaridite?;Isaia;Geremia;Ezechiele;Daniele;C;Simbolo della rinascita d'Israele [63, 64].
551;Quale segno segna i giusti in Ezechiele?;Croce;Cerchio;Tau;Stella;C;L'ultima lettera dell'alfabeto ebraico [65, 66].
552;Cosa indica il termine greco "Euanghèlion"?;Legge;Buona Notizia;Storia;Visione;B;Identifica la persona di Gesù [67, 68].
553;Quali sono i Vangeli Sinottici?;Mt-Gv;Mt-Mc-Lc;Lc-Gv;Mc-Gv;B;Hanno uno "sguardo d'insieme" [69, 70].
554;Quale animale simboleggia Matteo?;Leone;Uomo/Angelo;Bue;Aquila;B;Evoca la genealogia umana [71, 72].
555;Quale animale simboleggia Marco?;Uomo;Leone;Bue;Aquila;B;Per il ruggito del Battista nel deserto [73, 74].
556;Quale animale simboleggia Luca?;Leone;Bue;Uomo;Aquila;B;Simbolo di mansuetudine e sacrificio [71, 75].
557;Quale animale simboleggia Giovanni?;Uomo;Leone;Bue;Aquila;D;Per l'altezza del suo prologo [71, 76].
558;Quale Vangelo presenta Gesù come "Logos"?;Matteo;Marco;Luca;Giovanni;D;Il Verbo fatto carne [77, 78].
559;Chi scrisse gli Atti degli Apostoli?;Pietro;Paolo;Luca;Marco;C;Continuazione del terzo Vangelo [79, 80].
560;Dove furono chiamati "Cristiani" per la prima volta?;Roma;Gerusalemme;Antiochia;Efeso;C;Sede della missione ai pagani [81, 82].
561;Chi fu il primo martire lapidato?;Giacomo;Pietro;Stefano;Paolo;C;Diacono protomartire [83, 84].
562;Dove avvenne la conversione di Saulo?;Gerico;Damasco;Tempio;Roma;B;Sulla via per perseguitare i cristiani [85].
563;Quale fu la meta finale di Paolo negli Atti?;Atene;Corinto;Roma;Spagna;C;Vi rimase due anni annunciando il Regno [86, 87].
564;Quante sono le lettere nel Nuovo Testamento?;13;7;21;27;C;14 paoline e 7 cattoliche [88, 89].
565;Qual è il tema centrale di Romani?;Circoncisione;Giustificazione per fede;Fine del mondo;Miracoli;B;L'uomo è reso giusto dalla grazia [90, 91].
566;Qual è il "carisma più grande" (1 Cor 13)?;Profezia;Lingue;Carità (Amore);Sapienza;C;La via più alta [92, 93].
567;Cosa si intende per "Glossolalia"?;Traduzione;Dono delle lingue (estasi);Scrittura;Esegesi;B;Trattato da Paolo in 1 Corinzi [94, 95].
568;Cos'è la "spina nella carne" di Paolo?;Peccato;Infermità fisica;Corona;Nemico;B;Dio gli disse: "Ti basta la mia grazia" [96, 97].
569;In quale inno si parla di "Kènosis"?;Carità;Inno di Filippesi 2;Prologo Gv;Canto Mosè;B;Svuotamento e umiliazione di Cristo [98, 99].
570;Chi è Onesimo?;Libero;Caro;Utile;Forte;C;Schiavo per cui Paolo intercede [100, 101].
571;Qual è la tesi della Lettera agli Ebrei?;Ritorno Cristo;Superiorità sacerdozio di Cristo;Circoncisione;Preghiera;B;Sacrificio unico e perfetto [102, 103].
572;Quale lettera insiste su "Fede e Opere"?;Paolo;Giovanni;Giacomo;Pietro;C;La fede senza opere è morta [104, 105].
573;Quale virtù è centrale in 1 Pietro?;Fede;Speranza;Giustizia;Sapienza;B;Sostegno per i perseguitati [106, 107].
574;Qual è la definizione di Dio in 1 Giovanni?;Forza;Legge;Amore;Giudice;C;Dio è Luce e Dio è Amore [108, 109].
575;Cosa significa "Apocalisse"?;Fine del mondo;Distruzione;Rivelazione (Svelamento);Terremoto;C;Togliere il velo [110, 111].
576;In quale isola Giovanni ricevette le visioni?;Cipro;Creta;Patmos;Malta;C;Mentre era prigioniero [112, 113].
577;Chi è degno di aprire i sette sigilli?;Mosè;Angelo;L'Agnello (Cristo);Giovanni;C;Immolato e vittorioso [114, 115].
578;Qual è il numero simbolico dei salvati?;1000;12000;144.000;7000;C;Totalità del popolo di Dio (12x12x1000) [116, 117].
579;Cosa simboleggia la Bestia dal mare?;Terremoto;Potere politico persecutore;Morte;Mare;B;L'Impero ostile a Dio [118, 119].
580;Qual è l'invocazione finale della Bibbia?;Amen;Abba;Maranà-thà (Vieni Signore);Hosanna;C;Attesa della parusia [120, 121].
581;Quanti riferimenti AT ci sono nel NT?;100;200;304;500;C;Distribuiti in tutto il Nuovo Testamento [122, 123].
582;Qual è il libro AT più citato nel NT?;Genesi;Isaia;Salmi;Levitico;B;Insieme ai Salmi è il più frequente [124, 125].
583;In quale anno Pompeo conquistò Gerusalemme?;164 a.C.;333 a.C.;63 a.C.;70 d.C.;C;Inizio dominazione romana [126, 127].
584;Chi ha curato gli Atti (Ed. San Paolo)?;Lancellotti;Carlo M. Martini;Ghidelli;Laconi;B;Il Cardinale ha curato Atti [128, 129].
585;Chi ha curato Luca (Ed. San Paolo)?;Martini;Carlo Ghidelli;Sisti;Rossano;B;Ghidelli ha curato il terzo Vangelo [128, 130].
586;Chi ha curato Marco (Ed. San Paolo)?;Martini;Lancellotti;Adalberto Sisti;Ghidelli;C;Sisti ha curato il secondo Vangelo [128].
587;Chi ha curato Matteo (Ed. San Paolo)?;Martini;Angelo Lancellotti;Sisti;Ghidelli;B;Lancellotti ha curato il primo Vangelo [128, 131].
588;Chi ha curato Giovanni (Ed. San Paolo)?;Segalla;Martini;Lancellotti;Ghidelli;A;Giuseppe Segalla [128].
589;Qual è il papiro più antico del NT?;Vaticano;Papiro 52 (Gv 18);Vulgata;Sinaitico;B;Risalente al 125 d.C. circa [15, 132].
590;In quale secolo nacquero i capitoli?;I;XIII;XVI;IV;B;Introdotta per l'uso liturgico [133, 134].
591;In quale anno nacquero i versetti?;1200;1528;1850;1947;B;Numerazione di Sante Pagnini [133, 135].
592;Cos'è la "Dei Verbum"?;Un libro;Costituzione Concilio Vat II;Preghiera;Salmo;B;Tratta della Rivelazione [136].
593;Cosa si intende per "Inerranza"?;Nessun nome errato;Esenzione da errore salvifico;Perfezione greca;Scienza esatta;B;Verità per la nostra salvezza [87, 137].
594;Quanti sono i libri della Bibbia cattolica?;66;73;46;27;B;Include i deuterocanonici [138, 139].
595;Chi tradusse la Vulgata?;Agostino;San Girolamo;Ambrogio;Damaso;B;Dall'ebraico in latino [140, 141].
596;Cosa significa "Paràclito"?;Giudice;Intercessore/Assistente;Messia;Sacerdote;B;Riferito allo Spirito Santo [142, 143].
597;Qual è il porto del papiro "Biblo"?;Tiro;Sidone;Gebal;Gaza;C;Da cui deriva il nome Bibbia [144, 145].
598;Cosa significa "Adam" con articolo?;Primo uomo;L'Umanità / L'Uomo;Maschio;Padre;B;Termine collettivo [21, 146].
599;Dove fu gettato Giuseppe dai fratelli?;Pozzo;Cisterna;Fiume;Mare;B;Per invidia dei fratelli [147].
600;Chi propose di salvare Giuseppe?;Giuda;Ruben;Simeone;Beniamino;B;Voleva riportarlo al padre [147].
601;Chi comprò Giuseppe in Egitto?;Faraone;Potifar;Pastore;Mercante;B;Ufficiale del Faraone [148].
602;Quale titolo ebbe Giuseppe?;Viceré;Zafnat-Paneach;Mosè;Ramses;C;Significa governatore [149, 150].
603;Dove fu trovata la coppa d'argento?;Sacco Ruben;Sacco Giuda;Sacco Beniamino;Persa;C;Prova di Giuseppe per i fratelli [151, 152].
604;Quale regione ebbe Giacobbe in Egitto?;Menfi;Tebe;Gosen;Alessandria;C;Terra fertile per il bestiame [153, 154].
605;Quanti anni rimasero in Egitto?;40;70;430;100;C;Dalla discesa all'Esodo [155].
606;Qual è il nome di Dio all'Oreb?;Signore;Io sono colui che sono;Re;Padre;B;Rivelato a Mosè [156, 157].
607;Qual è la decima piaga?;Locuste;Tenebre;Morte primogeniti;Grandine;C;Colpì l'Egitto [158, 159].
608;Quale sangue salvò gli Ebrei?;Toro;Agnello;Capra;Colomba;B;Sugli stipiti delle porte [160].
609;Quanti carri prese il Faraone?;100;600;1000;12;B;Per inseguire gli Ebrei [161, 162].
610;Chi consigliò i giudici a Mosè?;Aronne;Giosuè;Ietro (suocero);Caleb;C;Per aiutarlo nel governo [163, 164].
611;Qual è il primo Comandamento?;Non uccidere;Onora padre;Non avrai altri dèi;Sabato;C;Esclusività di Jhwh [165, 166].
612;Ogni quanti anni il Giubileo?;7;10;50;100;C;Anno di liberazione [167, 168].
613;Cosa significa "Dura cervice"?;Forti;Testardi/Ribelli;Eletti;Saggi;B;Definizione del popolo [169].
614;Chi era Balaam?;Re;Veggente/Profeta;Soldato;Sacerdote;B;Mandato a maledire [170, 171].
615;Chi peccò prendendo l'anatema?;Giosuè;Acan;Caleb;Finees;B;Causò la sconfitta ad Ai [172, 173].
616;Chi era Eli?;Re;Sacerdote di Silo;Profeta;Giudice;B;Maestro di Samuele [174, 175].
617;Cosa disse Samuele nella notte?;Chi è?;Eccomi;Parla Signore il tuo servo ascolta;No;C;Risposta alla chiamata [176, 177].
618;Quanti anni aveva Davide a Ebron?;20;30;40;50;B;Divenne re a 30 anni [143].
619;Chi era il generale di Davide?;Abner;Ioab;Benaia;Ittai;B;Figlio di Zeruia [178].
620;Chi era il profeta di Davide?;Samuele;Natan;Gad;Elia;B;Annunciò il patto [179, 180].
621;Chi era il figlio ribelle (quercia)?;Salomone;Amnon;Assalonne;Adonia;C;Sospeso per i capelli [181, 182].
622;Cosa chiese Salomone a Dio?;Ricchezza;Cuore docile (Sapienza);Vittoria;Lunga vita;B;Per governare bene [183, 184].
623;Quale re divise il regno?;Salomone;Roboamo;Geroboamo;Saul;B;Causò lo scisma [185, 186].
624;Chi affrontò i profeti di Baal?;Eliseo;Elia;Isaia;Amos;B;Sul monte Carmelo [187, 188].
625;Chi era il successore di Elia?;Geremia;Ezechiele;Eliseo;Daniele;C;Ne raccolse il mantello [189, 190].
626;Quale re assediò Gerusalemme (701)?;Sargon;Sennacherib;Dario;Serse;B;Sotto Ezechia [71, 191].
627;Quale regina salvò gli Ebrei?;Giuditta;Ester;Rut;Debora;B;Sposa di Assuero [192, 193].
628;Quale libro è di riflessione (Moria)?;Genesi;Esodo;Levitico;Numeri;A;Sacrificio Isacco [122, 194].
629;Cosa simboleggia l'Arcobaleno?;Pioggia;Pace/Alleanza con Noè;Sole;Nube;B;Sigillo perenne [195, 196].
630;Quanti anni aveva Abramo (Carran)?;50;75;100;120;B;Quando lasciò la sua terra [197, 198].
631;Qual è il segno di Abramo?;Sabato;Circoncisione;Offerta;Preghiera;B;Patto nella carne [199, 200].
632;Chi lottò con Dio (Israele)?;Abramo;Isacco;Giacobbe;Giuseppe;C;Al guado dello Iabbok [201, 202].
633;Quale figlio fu viceré?;Giuda;Simeone;Giuseppe;Ruben;C;In Egitto [203, 204].
634;Quale monte per il Decalogo?;Tabor;Carmelo;Sinai;Nebo;C;Monte di Dio [12, 205].
635;Per quanti anni la manna?;7;12;40;100;C;Nel deserto [206, 207].
636;Chi peccò col vitello d'oro?;Mosè;Aronne;Giosuè;Caleb;B;Costruito dal popolo [208].
637;Chi ha curato i Salmi (San Paolo)?;Martini;Angelo Lancellotti;Ghidelli;Ravasi;B;Insieme a Matteo e Apocalisse [128].
638;Chi ha curato Samuele (San Paolo)?;Laconi;Giovanni Boccali;Sisti;Rossano;B;Versione dei due libri [128].
639;Chi ha curato i Re (San Paolo)?;Testa;Armando Rolla;Ghidelli;Sisti;B;Libri storici monarchici [128].
640;Chi ha curato Isaia (San Paolo)?;Testa;Stefano Virgulin;Lombardi;Bernini;B;Insieme a Cronache e Giobbe [128].
641;Chi ha curato Ezechiele (San Paolo)?;Testa;Enzo Cortese;Ghidelli;Lancellotti;B;Profeta dell'esilio [128].
642;Chi ha curato Geremia (San Paolo)?;Cortese;Luigi Lombardi;Sisti;Rossano;B;Insieme a Baruc [128].
643;Chi ha curato Proverbi/Daniele?;Ravasi;Giuseppe Bernini;Ghidelli;Martini;B;Anche i 12 profeti minori [128].
644;Chi ha curato Romani/Galati?;Martini;Ugo Vanni;Rossano;Cipriani;B;Anche Giacomo, Pietro, Giuda [128].
645;Chi ha curato Ebrei (San Paolo)?;Vanni;Silverio Zedda;Peretto;Rossano;B;Testo omiletico [128].
646;Chi ha curato le Pastorali?;Vanni;Settimio Cipriani;Rossano;Peretto;B;Timoteo e Tito [128].
647;Chi ha curato 1-2 Corinzi?;Vanni;Piero Rossano;Zedda;Peretto;B;Lettere principali [128].
648;Chi ha curato la Sapienza?;Sisti;Martino Conti;Virgulin;Minissale;B;Libro sapienziale greco [128].
649;Chi ha curato il Siracide?;Conti;Antonino Minissale;Sacchi;Colombo;B;Ben Sira [128].
650;Chi ha curato Esdra/Neemia?;Ghidelli;Giuseppe Danieli;Cortese;Testa;B;Ricostruzione post-esilio [128].
651;In quale materiale è il P52?;Pergamena;Papiro;Ostraca;Legno;B;Frammento di Giovanni [158, 209].
652;Cosa sono i "Masoreti"?;Sacerdoti;Saggi (vocali testo ebraico);Guerrieri;Scribi Qumran;B;Tra VII e X sec. d.C. [3, 210].
653;Pelli per un codice (NT)?;10;50-60;100;200;B;Molto costoso [211, 212].
654;Codice Vaticano (secolo)?;II;III;IV;V;C;Uno dei più antichi [211, 213].
655;Inerranza riguarda?;Storia profana;Scienza;Verità salvezza;Grammatica;C;Costituzione Dei Verbum [155, 214].
656;Quanti sono i livelli Alleanza?;3;5;7;10;C;Piramide Murdocca [2, 215].
657;Settimo gradino Alleanza?;Davide;Sinai;Messia re/sacerdote;Fine;C;Culmine in Cristo [20, 216].
658;Chi è il destinatario di Luca?;Teofilo;Paolo;Pietro;Giacomo;A;Significa "Amico di Dio" [217, 218].
659;Chi è il Precursore?;Mosè;Elia;Giovanni Battista;Giuseppe;C;Voce nel deserto [219].
660;Significato di "Amen"?;Grazie;Pace;Certamente/Così sia;Addio;C;Dall'ebraico [121, 220].
661;Prima città conquistata (Gs)?;Ai;Gerico;Gabaon;Sichem;B;Sette giri di mura [221, 222].
662;Donna che uccise Sisara?;Debora;Rut;Giaele;Giuditta;C;Moglie di Eber [223, 224].
663;Madre di Samuele?;Rachele;Anna;Sara;Rebecca;B;Pregò a Silo [225, 226].
664;Cosa rispose Caino?;Morto;Non so;Sono forse il custode?;No;C;Dopo uccisione Abele [227, 228].
665;Fiumi dall'Eden?;1;2;4;7;C;Pison, Ghicon, Tigri, Eufrate [229, 230].
666;Segno Alleanza Noè?;Arco nubi;Circoncisione;Sabato;Fuoco;A;Dopo il Diluvio [195, 196].
667;Età Abramo partenza?;50;75;100;120;B;Da Carran [197, 198].
668;Monte sacrificio Isacco?;Sinai;Tabor;Moria;Carmelo;C;Provato da Dio [122, 231].
669;Primogenitura Esaù?;Denaro;Odio;Minestra lenticchie;Cavallo;C;A Giacobbe [232, 233].
670;Visione scala cielo?;Abramo;Isacco;Giacobbe;Giuseppe;C;A Betel [234, 235].
671;Simeone in Egitto?;Ruben;Giuda;Simeone;Beniamino;C;Trattenuto in prova [236, 237].
672;Figli Giuseppe?;12;2 (Efraim/Manasse);3;Nessuno;B;Nati in Egitto [170, 238].
673;Significato di "Mara"?;Dolce;Amara;Santa;Profonda;B;Sorgente nel deserto [239].
674;Dieci Comandamenti?;Genesi;Esodo;Levitico;Numeri;B;Ricevuti sul Sinai [240, 241].
675;Tribù servizio culto?;Giuda;Beniamino;Levi;Efraim;C;Eredità Jhwh [242, 243].
676;Anno Riforma Giosia?;722 a.C.;931 a.C.;622 a.C.;587 a.C.;C;Ritrovamento Legge [29, 38].
677;Visione ossa (Ez)?;Isaia;Geremia;Ezechiele;Daniele;C;Capitolo 37 [244, 245].
678;Festa Hanukkah?;Pasqua;Pentecoste;Dedicazione;Capanne;C;Riconsacrazione Tempio [246, 247].
679;Significato "Apokalypsis"?;Fine;Rivelazione;Terremoto;Paura;B;NT Giovanni [110, 111].
680;Isola visioni Giovanni?;Cipro;Creta;Patmos;Malta;C;Apocalisse [112, 113].
681;Riferimenti AT in Matteo?;56;30;22;16;A;Statistica Murdocca [125, 248].
682;Riferimenti AT in Marco?;56;30;22;16;B;Statistica Murdocca [125, 248].
683;Riferimenti AT in Luca?;56;30;22;16;C;Statistica Murdocca [125, 248].
684;Riferimenti AT in Giovanni?;56;30;22;16;D;Statistica Murdocca [125, 248].
685;Lettera paolina più citazioni AT?;Romani (43);1 Cor;Galati;Ef;A;Centro teologico [125].
686;Significato "Abba"?;Signore;Padre caro;Re;Creatore;B;Aramaico Gesù/Paolo [249, 250].
687;Criterio Apostolicità?;Lunghezza;Lingua;Legame con Apostoli;Uso;C;Canone NT [251, 252].
688;Libri deuterocanonici?;5;7;12;27;B;Solo Bibbia Cattolica [253, 254].
689;Ultimo libro AT (cronol)?;Sapienza;Daniele;Malachia;Siracide;A;I sec a.C. [255, 256].
690;Lingua Libro Sapienza?;Ebraico;Aramaico;Greco;Latino;C;Cultura ellenistica [257, 258].
691;Significato "Maranà-thà"?;Aiuto;Vieni Signore;Qui;Pace;B;Invocazione finale [20, 259].
692;Inno svuotamento (Fil 2)?;Carità;Kenosi;Creazione;Lode;B;Umiliazione/Esaltazione [99, 260].
693;Quale miracolo solo Gv?;Pani;Cieco;Risurrezione Lazzaro;Tempesta;C;Simbolo risurrezione [261, 262].
694;Confessione di Tommaso?;Grazie;Signore;Mio Signore e mio Dio;Maestro;C;Vedendo il Risorto [263, 264].
695;Città naufragio Paolo?;Cipro;Creta;Malta;Rodi;C;Verso Roma [265, 266].
696;Compagno I viaggio Paolo?;Sila;Barnaba;Timoteo;Luca;B;Insieme a Cipro [267, 268].
697;Compagno II viaggio Paolo?;Barnaba;Sila;Marco;Luca;B;Dopo scisma Barnaba [76].
698;Primo concilio Chiesa?;Gerusalemme (At 15);Roma;Nicea;Trento;A;Questione circoncisione [269, 270].
699;Dove morì Geremia?;Babilonia;Egitto;Roma;Anatot;B;Tradizione profetica [271, 272].
700;Chi è l'Anticristo (Gv)?;Re;Chi nega Incarnazione;Demone;Soldato;B;Lettere di Giovanni [273, 274].
701;Quanti capitoli il Cantico?;5;8;12;150;B;Poema d'amore [275].
702;Significato "Sion"?;Tempio;Monte della presenza;Città;Regno;B;Tema Isaia [276].
703;Chi è il "Servo" (Is 53)?;Davide;Ciro;Messia sofferente;Esdra;C;Carmi del Servo [58, 277].
704;Vocazione di Geremia?;Gerusalemme;Anatòt;Betlemme;Samaria;B;Città natale [278, 279].
705;Gesto giogo (Geremia)?;Spezzò;Indossò giogo legno;Nudo;Cenere;B;Resa a Babilonia [280, 281].
706;Significato Ezechiele?;Dio salva;Dio dà forza;Amico;Sacerdote;B;Nome profeta [282, 283].
707;Visione carro Cherubini?;Isaia;Geremia;Ezechiele;Daniele;C;Fiume Chebar [284, 285].
708;Lingua Daniele (cap 2-7)?;Ebraico;Aramaico;Greco;Latino;B;Parte del libro [286, 287].
709;Significato Vangelo?;Legge;Buona Notizia;Storia;Visione;B;Persona di Gesù [67, 68].
710;Segreto Messianico?;Setta;Gesù cela identità;Codice;Miracolo;B;Tipico di Marco [288].
711;Parabola Buon Samaritano?;Matteo;Marco;Luca;Giovanni;C;Misericordia [213, 289].
712;Nunc Dimittis?;Matteo;Marco;Luca;Giovanni;C;Cantico Simeone [290].
713;Inizio Gv: Prologo?;In principio Dio;In principio era il Verbo;Genealogia;Voce;B;Logos [76, 291].
714;Intercessore (Gv)?;Logos;Paraclito;Euangelion;Diatheke;B;Spirito Santo [292, 293].
715;I Segno Giovanni?;Cieco;Pani;Nozze di Cana;Lazzaro;C;Acqua in vino [294, 295].
716;Chi è Zaccheo?;Fariseo;Capo pubblicani;Pescatore;Soldato;B;Salì sul sicomoro [296, 297].
717;Protomartire Atti?;Giacomo;Pietro;Stefano;Andrea;C;Lapidato [84, 298].
718;Sette Stelle (Ap)?;Piaghe;Angeli Chiese;Tribù;Sacramenti;B;Visione Giovanni [299].
719;Nuova Gerusalemme?;Città Davide;Dimora eterna Dio;Fortezza;Sogno;B;Fine Apocalisse [300, 301].
720;Significato "Bibbia"?;Dio;Sacro;I Libri;Legge;C;Tà Biblía [302, 303].
721;Materiale pelle animale?;Papiro;Pergamena;Carta;Seta;B;Resistente [158, 304].
722;In quale secolo la carta?;I;VIII;XII;XV;C;In Occidente [211].
723;Cosa indica "Diatheke"?;Morte;Alleanza/Patto;Libro;Legge;B;Testamento [253, 305].
724;Inizio Sapienza?;Amore;Legge;Timore del Signore;Digiuno;C;Fondamento [306].
725;Patrono dei Sapienti?;Davide;Salomone;Mosè;Giosuè;B;Prototipo [307].
726;Pessimismo "Tutto è vanità"?;Proverbi;Siracide;Qoelet;Sapienza;C;Ecclesiaste [308, 309].
727;Lingua Siracide?;Aramaico;Greco (da ebraico);Latino;Ebraico;B;Traduzione Ben Sira [310].
728;Significato "Tehillim"?;Leggi;Salmi/Lodi;Profeti;Saggi;B;Titolo ebraico [311, 312].
729;Sofferenza giusto (Sap)?;Peccato;Prova fedeltà;Destino;Ira;B;Maturazione [313].
730;Purificazione lebbroso?;Sacerdote;Re;Popolo;Medico;A;Rituale Levitico [314].
731;Cosa accadde al volto di Mosè?;Vecchio;Raggiante;Polveroso;Uguale;B;Dopo il Sinai [315].
732;Animale sacrificio riparatorio?;Toro;Montone;Colomba;Maiale;B;Valore in sicli [316].
733;Comando Lv 19?;Non rubare;Amerai prossimo come te stesso;Onora;Sabato;B;Gesù lo cita [248, 317].
734;Paga bracciante?;Fine mese;Non restare la notte;Frustate;No diritti;B;Perché povero [318].
